Okt,Nov,Dec,Jan,Feb,March,Apr,May,June,July,Aug,Sep,Okt-Nov,Okt-Dec,Okt-Jan,Okt-Feb,Mejveg,Veg
267.41,205.55,174.88,165.2,133.23,197.080128,475.2,845.77,778.55,461.72,222.14,204.16,472.96,647.84,813.04,946.27,1143.350128,2987.54
146.01,251.6,156.5568,140.488128,92.01,125.97,595.3,728.61,709.69,385.7,140.7,152.5,397.61,554.1668,694.654928,786.664928,912.634928,2712.5
141.43248,171.5904,194.743872,154.566144,134.784,224.38,368.064,624.5856,743.9904,351.219456,225.330768,149.472,313.02288,507.766752,662.332896,797.116896,1021.496896,2462.662224
116.988192,112.32,168.649344,147.140064,125.456256,129.342528,255.6576,496.2816,593.3952,200.360736,129.16368,116.3808,229.308192,397.957536,545.0976,670.553856,799.896384,1791.239616
184.031136,200.88,190.255392,163.4688,152.326656,210.298464,530.7552,926.815392,662.6016,371.605536,139.621536,146.3616,384.911136,575.166528,738.635328,890.961984,1101.260448,2777.760864
114.13008,197.3376,172.1088,134.009856,122.871168,165.024,250.992,735.003936,670.032,331.775136,154.313856,135.3024,311.46768,483.57648,617.586336,740.457504,905.481504,2277.419328
133.917408,199.8432,249.00912,191.98512,158.3712,191.29392,807.6672,1332.289728,977.3568,712.36368,190.34352,111.6288,333.760608,582.769728,774.754848,933.126048,1124.419968,4131.649728
210.816,118.2816,132.879744,119.401344,106.8768,176.084928,447.2928,702.601344,745.4592,365.560992,131.757408,98.5824,329.0976,461.977344,581.378688,688.255488,864.340416,2491.254144
90.463392,129.4272,187.312608,158.11632,99.9648,119.056608,385.5168,452.736,465.0912,421.975008,110.595456,108.6912,219.890592,407.2032,565.31952,665.28432,784.340928,1944.605664
79.744608,83.376,108.087264,146.105856,132.450336,134.26992,229.4784,294.102144,193.1904,123.896736,202.520736,156.384,163.120608,271.207872,417.313728,549.764064,684.033984,1199.572416
88.043328,134.6976,147.6576,118.974528,126.838656,166.408992,283.5648,686.276064,394.7616,141.52752,98.234208,114.66144,222.740928,370.398528,489.373056,616.211712,782.620704,1719.025632
139.534272,144.6336,168.051456,131.75136,125.9712,266.629536,683.856,1009.326528,658.6272,400.203936,144.375264,118.0224,284.167872,452.219328,583.970688,709.941888,976.571424,3014.411328
110.762208,145.9296,65.706336,57.106944,102.5568,193.798656,301.0176,440.81712,677.4624,336.784608,169.77168,146.2752,256.691808,322.398144,379.505088,482.061888,675.860544,2072.128608
